Colistin_0.8ugml,Ethanol_5.,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,pH_8,pH_9,Colistin_4ugml,Colistin_8ugml,EDTA_0.1mM,EDTA_0.5mM,EDTA_1mM,Imipenem_0.5ugml,Imipenem_1ugml,Indole_1mM,RPMI_1,pH_5,pH_6,Aceticacid_0.7mM.1,Aceticacid_0.7mM,Aceticacid_1mM,Aceticacid_5mM,Bleach_1.,Chloramphenicol_1.6ugml,Chloramphenicol_8ugml,DMSO_1.,Ethanol_1.,M9_GLUCOSE,Methanol_1.,Methanol_5.,Propanol_1.,TWEEN20_0.8.,TWEEN20_0.8..1,TWEEN20_1.5.,Tetracycline_0.8ugml,Ceftazidime_0.2ugml,Ceftazidime_1ugml,Ceftazidime_2ugml,Ciprofloxacin_0.05ugml,Ciprofloxacin_0.25ugml,Ciprofloxacin_0.5ugml,LB_2,UV_12sec,UV_24sec,UV_6sec
223626,159369.5,187989,30788,18677,262874,86477.5,102857,204055,216675,132791.5,110000.5,78042,152414,38952,34797,91146,88391,114089,83078,111036,138910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123324,73066,117842.5,167403,168770,87016,118235,47648,105077,86052,50451,61609.5,7504,109840,37041,22270,111141,98898,44539,77505,108021.5,114091,73168.5,70201,86890,31768,44520,95239,165251,63603,66931,0,83141.5,83501,100154.5,83199,81441,76867,103627,159614,202747,185029,194856,221624.5,232485,140245,36511.5,4797.5,92280
142586,107268,159328,174591,185922,119061.5,165165.5,84700,121717,96267,75041.5,139935,136087.5,103333,30608,35366,127087,101659.5,52056,83494,84395,102503,93999,93745,101069,55535,62266,125382,178871,87767.5,99893.5,48369,107885.5,89059,98163,103082.5,105115,105796,116533,254047,251747,245382.5,243789.5,235830,285334,229277,37893.5,5936,135729
125085,94148,135152,136525,171070,100335.5,153474.5,72519.5,115338,96348,75438.5,127513,92486,106151.5,25720,31168.5,116312,105746.5,52425,79711,71431,94150,99183,99183,110267.5,64101,83689,152373,229309,95301,94964,54640,113660.5,95991,113446,114076.5,109856,117571,137958,223633,215741,241644,234879,232157,293838,193270,43154.5,462.5,110066
97657,79247,101830,111684,116671,78965,154273,54957,71208,80790,46621,167039,118834.5,111163,26416,37182,108889,95791,61853,88191,90822,116744,130943.5,136378,135342,79141,101784,177310,105766,116759.5,111273.5,82557,137067,117139,144819,134692.5,130593.5,132628,168424,253390,255310,266316,248766,287487,324408.5,232586,37905.5,4353,118724
62094,35923.5,58363.5,62901,63525,41304,111569.5,35133,38521,47151,25834.5,106853.5,107494,71068,24599,38957,94159,89844,52944,80087,79105,97623,56090.5,66908,104410,57434,88952,72887.5,79485,49405.5,93621,58974,93881,44939,91313,55513.5,73064,57704,134146,214917,224697.5,231905,215013.5,237181.5,297747,193108,50958,0,123801
72450,37398,69930.5,57935.5,63147,45481.5,127833,28017,47740,44512,24748.5,131692,140674.5,75520,38558,38767,143655,139962.5,59369,72965,76473,92094.5,83850,101238,113282,62765,82031,93559,131443,49270,111698,85105,100900.5,75882,126389,57012,61846,66593,149933,238477,245645,253187,235251.5,240628,288368,226902,120470.5,148107,166920
236617,159924,159837,10736,25526,222825,218640.5,102717,146351,165767,111901.5,207422.5,168993,200593,82598,58708,115792,109314,147775,102480,196368,184887,115546,121288,178946,96319,137947,79792,39237,125441.5,149639,62557,132577,134433,169136,134855.5,136230,164452,80685.5,268699.5,290761,317836,271398.5,29203,31138,264153,76379.5,243091,187472
226078,123241.5,154453,12986,24694,170274,250059,85553.5,147412,131609,60683.5,195387,74450,128681,41550,25380.5,155291.5,111003,71041,53034,141025,181996,107884,117258,126773,59566,90337,78037,65435,96380,141307.5,0,140690.5,118818,154913,139592.5,139592.5,127251,89218,317873,334337,334112,331710,340770,349574,333985,221043,193799,310381
79402,27709,53270.5,78566,30668,77820.5,140400,30922,134095,107627,56463,54094,96262.5,95544,66349,25393,104324,102432.5,33919.5,21017,145124,112479,86170.5,80418,63832,108161,7305.5,39479,76503,49012,19767,1340,143638,140117,73303,43744.5,43837,17648,51594,109299,101524,122922.5,101781.5,122300.5,159182.5,120425.5,0,0,50159
