Colistin_0.8ugml,Gentamycin_0.8ugml,Gentamycin_4ugml,Gentamycin_8ugml,Imipenem_0.1ugml,LB_,LBBlood_5.,LBUrine_5.,ethanol_5.,pH_8,pH_9
5466,5632,5724,5839,3645,3298,4499.5,3691,2880,3006,3167.5
2846,1993.5,0,0,2551,4165,2746,3455,2956,2043,4467.5
4743,4419.5,1604.5,1161,5935.5,4041,4200,3370,3838,3238,3691.5
2555,2975,875,1075,2386,2846,2434,2753,2157,2125,2090.5
2847.5,3215,1532,1406,3119.5,2934,2257.5,2668,2282,2160,1977
2096,2282.5,2043.5,2074,1680,1559,1599,2069,1518,1373,1663
5231.5,4128.5,3283,4088,4940.5,3409,4101,3350,4285.5,3301,3397
5597,4575,2326,1715,5498,3958,5202,3635,5093.5,4096,3117
1013,1737.5,0,0,885,2185,2138,4036,953,1659,1024.5
3344.5,3592,4437.5,4074,3018,3023,2962.5,3014,2603,2520,2097
1988,1648,2087,2015.5,1788,2284,2299,1948,1744,1869,1495
2632.5,3452,3450,3700,2325.5,2892,2501.5,2672.5,2010,2350,1719
551,2606,0,304,2503,2466,2275,2722,0,2456,1966
2613,2516,2561,2650.5,2115,2461,2778,2326,1955,2179,1781.5
2627.5,3746,4587,4567,2526.5,2921,2550.5,2851,2668,2561,2306
3704.5,3709,1228,1007,2960,2850,2754,3177,2533,2093,2047
2512.5,2933,847,954,3046,2827,2600.5,3129.5,2612,2494,1883
1892.5,2406,1241,1001.5,2088,2673,2157.5,2599,2122,2079,1876
1158,1974,0,0,3370.5,3498,3003,3028,2811,2733,1729
2805.5,3725,0,1297,3432,2641,2698,3801,2463,2194,2972
4112,3393.5,0,0,4413.5,2680,3109,2553,2949,2864,2270
3256,4067,3401.5,3782,2959.5,3508,3103.5,3269,2138,2962,1754
0,2160.5,0,957,2328,4327,2236,3600,2569,1123,2038.5
2863,3677,3668,3384,3623,2509,2658,2635,2386.5,2007,1940
1533,2635.5,1930,2334,2546,2863,2518,2920,2748,2626,2426
2119.5,1415,687,1010,1586.5,2371,2248,2386,1608,1982,925
3108.5,3371,3814,4560,2534,2596,2503,2582,2151,2054,1671
3921.5,4268.5,4348,4269,2605,3199,4114,2637,2150,3270,796
3835,4759.5,5231,4776,3328,2745.5,2931,2576.5,1998,2729,1611
2656,2732.5,3887,3338.5,2135.5,2425,2248,2244,1850,1906,1322
2438,3396.5,2884,921,4854,2963,2127.5,2808,1936,3621,1897
3358.5,3630.5,4272,4117,2627.5,2911,2940.5,2700,2212,2441,1955.5
3094,2711.5,3183,3267,2828.5,2640,2928.5,2146,1749,3220,1649.5
7201,6462,5798,4752.5,7338,6430,6316.5,6651,6290,5293,5134
1571.5,2608,3067,2313,2515.5,2630,2491,2752,2019.5,1712,2017
2494,3469,3149,4176,2445.5,3115.5,2904,2997.5,2243,2769,2072
2638,4187.5,4368,4353,2796,3497,3280,3429,2664,2846,2531
1174.5,1799,717,854.5,3198,2124,2069.5,2251,1457,1882,838.5
1477,3082,3840,3989,2163,2241.5,2015.5,2609,1806,2105,1564
3617,5017.5,4450,3852,5003,4650,4634.5,4807,4122,3168,3327.5
3497,4104,4553,4610.5,3409.5,2993,2450,3042,2670,2692,2204
2796.5,3406.5,2680.5,3150,2422.5,2604,2485,2554,2086,1869,1902
3402.5,3981,4449.5,3889,2959.5,2764,3024,2699,2230,2398,1958.5
1431.5,2643,2866,3743.5,2060,2990,1848,2291,2082.5,2054,1518
10506,10223,12547,12537,9301,9763,7724,9977,9750,8815,9870
1786,3300.5,4635,4260,2258,2512,2015.5,2618,1814,2238,1513.5
5535,6377.5,4981,2105,4441.5,3991,4624.5,4037,3277,4098,2874
5355.5,4700.5,2110,2168,5044,4386,3362,4396.5,4537.5,3208,2685
1460.5,2541.5,3019,2561.5,1650,2339,1830,2326,1489,1315,1310.5
